s1_bag_x,s1_bag_y,s1_fence_x,s1_fence_y,s1_center_x,s1_center_y,s2_bag_x,s2_bag_y,s2_fence_x,s2_fence_y,s2_center_x,s2_center_y,s3_bag_x,s3_bag_y,s3_fence_x,s3_fence_y,s3_center_x,s3_center_y,s4_bag_x,s4_bag_y,s4_fence_x,s4_fence_y,s4_center_x,s4_center_y,s5_bag_x,s5_bag_y,s5_fence_x,s5_fence_y,s5_center_x,s5_center_y,s6_bag_x,s6_bag_y,s6_fence_x,s6_fence_y,s6_center_x,s6_center_y
83.90491218,3.41395417,,,,,1269.321383,0.9779222174,,,,,,,,,,,187.1323944,3.114773363,,,,,17.70924197,4.230644955,,,,,219.5232256,4.027963867,,,,
74.27182601,3.404915229,,,,,1145.814214,0.9775258556,,,,,,,,,,,182.5608553,3.110494697,,,,,12.67266383,4.220237334,,,,,197.7371904,4.005011428,,,,
73.35310994,3.403794518,,,,,1105.00005,0.9773303687,,,,,,,,,,,181.7806623,3.108927544,,,,,12.09704878,4.218720363,,,,,194.8181678,4.001893629,,,,
48.10321556,3.371111072,,,,,1084.553669,0.9772153048,,,,,,,,,,,128.8323539,2.989038729,,,,,7.944654353,4.205875981,,,,,180.4934092,3.978064124,,,,
42.32475247,3.361917866,,,,,1017.362631,0.9767445162,,,,,,,,,,,121.4157023,2.971864542,,,,,7.497032121,4.204110768,,,,,150.8625244,3.92235302,,,,
41.31831563,3.360185531,,,,,966.0753078,0.976289893,,,,,,,,,,,97.58799486,2.916126852,,,,,5.459371818,4.195452299,,,,,95.44862812,3.790088408,,,,
35.28599246,3.349287699,,,,,930.3858028,0.9758974269,,,,,,,,,,,86.72317229,2.88994657,,,,,2.166625693,4.178937487,,,,,64.07103196,3.710304345,,,,
13.13594617,3.308561326,,,,,856.2577705,0.9748528243,,,,,,,,,,,80.86174577,2.875281826,,,,,1.790890126,4.176828461,,,,,61.08723961,3.702500988,,,,
13.12918889,3.308536871,,,,,738.4162044,0.9731458969,,,,,,,,,,,77.91089125,2.865265804,,,,,1.640194398,4.175932569,,,,,60.02921576,3.699561731,,,,
9.327646743,3.293191622,,,,,701.9652544,0.9726034128,,,,,,,,,,,55.57496432,2.785008122,,,,,1.399030129,4.17435746,,,,,45.8161916,3.655838068,,,,
